"ID","Company Name","Company Address","Primary Contact","Change Contact","Notes"
"ATX99","AT&T","2651 Olive  St Louis Missouri, USA 63103 800-544-6317","BILL Baldwin wbaldwin@att.com P: 800-544-6317 F:","Bill Baldwin wbaldwin@att.com P: 800-544-6317 F:","DO NOT EMAIL FORMS OR STATUS REQUESTS TO PRIMARY  OR CHANGE CONTACTS."
"VDL99","Birch Telecommunications Inc.","1321 Chestmut  Emporia Kansas, USA 66801 877-772-4724","LaManda Emory lamanda.emory@birch.com P: 478-476-1167 F:","",""
"AAM99","AT&T Alascom","210 E Bluff Dr  Anchorage Alaska, USA 99501 907-264-7340","SOMSACK BOUASRI sb350e@att.com P: 907-264-7139 F:","",""
"BDL99","Bellsouth Long Distance","30 Perimeter Ctr. E  Atlanta Georgia, USA 30346 800-684-2174","Bill Baldwin wb1428@att.com P: 800-251-8149 F: 800-450-3701","",""
"NLS99","XO Communications","10000 Park Meadows Drive  Lone Tree Colorado, USA 80124 888-575-6398","Recheal Goettling Recheal.L.Goettling@one.verizon.com P: 303-305-1688 F:","","RESP ORG CHANGE requests should be sent to resporgrelease@xo.com and status updates should go to XOPORTOUTS@xo.com"
"NLV99","XO Communications","9201 North Central Expressway  Dallas Texas, USA 75207 888-575-6398","Recheal Goettling Recheal.L.Goettling@one.verizon.com P: 303-305-1688 F:","",""
"JGL99","1 WIRE","3580 Wilshire Blvd Suite 1622 Los Angeles California, USA 90010 213-480-4822","Jin Ra jinra@1wire.co P: 310-738-2500 F: 702-857-8222","",""
"KHJ99","Unavo","23310 State Rd 54 Suite 307 Lutz Florida, USA 33549 813-915-6200","JJ Kareem A. Jones resporg@resporgportal.com P: 855-673-7767 F: 866-805-3241","",""
"JON99","800 Ideas.com, Inc.","4562 Georgia St #12 San Diego California, USA 92116 858-565-4000","Rich Jones richj@800ideas.com P: 888-433-2710 F: 619-269-0364","",""
"ABC99","FoxTel Telecom LLC","3558 Round Barn Blvd Suite 200 Santa Rosa California, USA 95403 877-369-8355","Alanna Grecco agreco@foxteltelecom.com P: 877-369-8355 F:","",""
"WST99","Acceris Solutions","1001 Brinton Rd  Pittsburgh Pennsylvania, USA 15221 858-547-5610","Stacy Reder sreder@firstcomm.com P: 330-835-2336 F: 330-835-2630","",""
"CMT99","Acceris Communications Partners","9530 Padgett Street Suite 101 San Diego California, USA 92126 858-547-5610","Karen Lyons klyons@acceris.com P: 330-835-2471 F:","",""
"EHT99","Access Point, Inc.","1100 Crescent Green Suite 109 Cary North Carolina, USA 27518 919-851-4838","Tywanda Bloodworth tywanda.bloodworth@gtt.net P: 919-851-4838 F: 919-859-3025","",""
"RSA99","AccessLine Communications Corp.","3310 146th Place SE  Bellevue Washington, USA 98007 877-880-0055","Mat Sutherland MSutherland@accessline.com P: 425-748-8335 F:","Claire Russell tfprocessing@intermedia.com P: 206-381-2026 F:","Effective 6-30 we will be accepting ROC requests via the FCC Mandate.
Status requests should be emailed to tfprocessing@accessline.com."
