"ID","Company Name","Company Address","Primary Contact","Change Contact","Notes"
"ALN03","Lumen Technologies","200 Galleria Center Suite 401 Southfield Michigan, USA 48034 877-453-8353","Christian Aguilar christian.aguilar@lumen.com P: 7208881563 F:","RespOrg Change wcgsms800@lumen.com P: 877-864-2309 F: 720-567-0061",""
"CDN03","PAETEC Communications/McLEODUSA","600 Willowbrook Office Park  Fairport New York, USA 14450 877-340-2600","Katie Tan katie.tan@windstream.com P: 585-340-2769 F:","Cheryl Pecorella cheryl.pecorella@windstream.com P: 585-340-2769 F:",""
"ATX03","AT&T","Room 526 2651 Olive St. Louis Missouri, USA 63103 800-248-1905","BILL Baldwin wbaldwin@att.com P: 800-544-6317 F:","William Baldwin wb1428@att.com P: 800-544-6317 F:","DO NOT EMAIL FORMS OR STATUS REQUESTS TO PRIMARY  OR CHANGE CONTACTS."
"NLS03","XO Communications","1000 PARK MEADOW DR  LONE TREE Colorado, USA 80124 888-575-6398","Recheal Goettling Recheal.L.Goettling@one.verizon.com P: 303-305-1688 F:","","RESP ORG CHANGE requests should be sent to resporgrelease@xo.com and status updates should go to XOPORTOUTS@xo.com"
"EYE03","Lightpath Fiber Infrastructure LLC","200 Jericho Quad  Jericho New York, USA 11753 5168036025","Denise Narine-Anderson denise.narine-anderson@lightpathfiber.com P: 8666113434 option 2 F: 516-495-8788","Jasmin McIntosh-Page Jasmin.McIntosh-Page@AlticeUSA.com P: 5168036025 F: 516-513-3015","All change requests should be sent via ROC. Status inquiries email ovtollfree@AlticeUSA.com"
"NRC03","MTF","250 Pilot Rd. Suite 220 Las Vegas Nevada, USA 89119 702-547-8266","Jeannie DiPuccio jdipuccio@morsetollfree.com P: 7025478266 F:","",""
"QEQ03","Cox Communications","6301 Waterford Blvd Suite 200 Oklahoma City Oklahoma, USA 73118 1-844-366-3762 OPT 3","Donnice Robinson donnice.robinson@cox.com P: 8443663762 F:","Donnice Robinson donnice.robinson@cox.com P: 8443663762 F:","Please submit all request via the SOMOS ROC tool"
"EHT03","Access Point, Inc.","1100 Crescent Green Suite 109 Cary North Carolina, USA 27518 919-851-4838","Tywanda Bloodworth tywanda.bloodworth@gtt.net P: 919-851-4838 F: 919-859-3025","",""
"EUS03","TELUS Corporation","10020 100 ST NW 8 Floor  Edmonton Alberta, Canada T5J 0N5 877-700-4662","Billy-Jo McBride BILLYJO.MCBRIDE@TELUS.COM P: 4033842831 F:","",""
"ART03","iconectiv - formerly CSF, LLC","csf Corporation 285 Davidson Avenue Somerset New Jersey, USA 08873 732-356-6999","Melissa Avery mavery@iconectiv.com P: 732-699-4806 F:","Melissa Avery mavery@iconectiv.com P: 732-699-4806 F:",""
