"ID","Company Name","Company Address","Primary Contact","Change Contact","Notes"
"AAM01","AT&T Alascom","505 East Bluff Drive  Anchorage Alaska, USA 99501 907-264-8363","SOMSACK BOUASRI sb350e@att.com P: 907-264-7139 F:","",""
"GCI01","GCI Communication Corp.","2550 Denali Street Suite 1000  Anchorage Alaska, USA 99503 800-770-8725","Lucia Del Rio tollfreeprovisioning@gci.com P: 907-868-6616 F: 907-868-9929","Toll Free Switchovers tollfreeswitchovers@gci.com P: 907-868-5770 F: 907-868-9929",""
"KKM01","C & C Management","9632 Harford Court  Mobile Alabama, USA 36695 251-689-8836","Jennifer Trujillo jtrottger@gmail.com P: 251-689-8836 F:","Jennifer Trujillo jtrottger@gmail.com P: 251-689-8836 F:",""
"TJC01","TeleServices Inc.","3370 N. Hayden Rd. Ste 123 PMB 321 Scottsdale Arizona, USA 85251 877-870-8700","Patricia Miller trisha@teleservices.com P: 877-870-8700 F: 877-870-8701","Patricia Miller trisha@teleservices.com P: 877-870-8700 F: 877-870-8701",""
"DKT01","ESS, LLC","8020 E Gelding Dr Ste B-107 Scottsdale Arizona, USA 85260 800-284-1310","Christin Halvorsen noc@etnastaffing.com P: 480-346-3400 F: 866-222-3083","",""
"WNM01","Warning Communications Inc.","510 E. University Drive Suite 3517 Tempe Arizona, USA 85281 602-228-4486","Jay Carpenter rjaycarpenter@gmail.com P: 602-228-4486 F:","Jay Carpenter rjaycarpenter@gmail.com P: 602-228-4486 F:",""
"BOV01","Teligence US Inc.","303 W. Pender Street., 3rd Floor  Vancouver British Columbia, Canada V6B 1T3 604-629-6055 x3333","Ted Serne ted.serne@teligence.net P: 604-290-2032 F: 604-200-8706","Ted Serne ted.serne@teligence.net P: 604-290-2032 F: 604-200-8706",""
"OUR01","CallSource","5601 Lindero Cyn. Suite 200 Westlake Village California, USA 91361 888-763-6200","Randy Howell rhowell@callsource.com P: 8186734746 F:","",""
"MNS01","Communication Management Services LLC (CMS)","2650 Camino del Rio N  San Diego California, USA 92108 855-267-1400","Daniel Inderbitzen commmgmtservices@mail.com P: 855-267-1400 F: 844-267-1400","Daniel Inderbitzen commmgmtservices@mail.com P: 855-267-1400 F: 844-267-1400",""
"HCN01","National ComTel","9429 S. Broadway #200-422 Highlands Ranch Colorado, USA 80129 818-992-0759","Todd McIntyre todd@nationalcomtel.com P: 303-470-9499 F:","","www.NationalComTel.com"
